"Country","LEBF20052","LEBM20052","maxINFM20052","GDPPCUS2005","HXPC2005","PctHXPUB2005","TotFertRate2005","AdolFertRt2005","FtoMPrimaryEnrl2005ONY","PctUrb2005","Sanitation2005ONY","ImprWaterUrb2005ONY","ImpWatRur2005ONY","FLFPR2005","MLFP2005","PopGr2005","PctPop0142005","PctPop65Pl2005"
"Portugal","80.52476418","74.09476418","2.894764176","17579.03958","1794.35293","71.7536108","1.4","18.09","95.3060171","57.6","99","99","100","55.5","69.3","0.4511389","15.5959845","17.0629372"
"Qatar","73.03719568","70.93819568","7.569195683","47956.59118","1939.109825","77.6933639","2.651","17.7785","97.8945524","95.4","100","100","100","45.9","92.5","10.5181211","17.9176657","1.3026307"
"Romania","69.512043","62.492043","9.312043004","4572.052891","234.3466048","75.3405081","1.32","33.303","98.6975492","53.7","72","99","76","47","61.6","-0.2333095","15.675272","14.7794092"
"Russian Federation","72.15495294","58.62495294","14.55495294","5340.926653","278.1350024","61.98171","1.29","26.497","99.6074582","72.9","87","98","89","55.5","68","-0.4875098","15.0883298","13.7878294"
"Rwanda","54.3332351","50.9852351","89.6982351","265.7324583","20.2426964","59.3583725","5.639","40.199","103.5199925","17.5","49","80","63","85.7","84.5","1.9364367","42.5153968","2.6176305"
"Samoa","68.80619759","62.42619759","18.49419759","2303.345665","112.9565527","82.6266756","4.259","32.4355","99.1854828","22.4","100","90","87","38.7","76.9","0.0755","41.0893689","4.6589855"
"Sao Tome and Principe","64.80038508","61.09338508","51.95738508","745.6882339","94.0392157","45.9063108","4.094","73.0825","96.8731492","58.1","24","88","81","43.1","75.5","1.6542625","41.5824717","4.3774816"
"Saudi Arabia","71.14412698","66.85112698","15.41812698","13650.25003","422.7605556","81.4838371","3.451","29.188","97.163355","81.42",NA,"97",NA,"19.8","80.3","2.5835982","34.5313773","2.7793537"
"Senegal","47.88410555","44.93610555","46.56910555","770.0926583","41.5913291","55.3448626","5.14","105.099","96.1803174","41.6","49","91","51","63.8","88.8","2.6210229","44.4102876","2.446297"
"Serbia","77.29713563","71.89713563","9.797135628","3391.371076","230.503265","66.3600794","1.45","23.9565","100.8980262","51.5","92","99","98",NA,NA,"-0.3004311","18.44855","14.7267454"
"Seychelles","74.02171864","64.32171864","8.421718641","10661.25672","560.6549855","73.8431418","2.2",NA,"101.0371","52.9",NA,"94",NA,NA,NA,"0.4836769",NA,NA
"Sierra Leone","53.67121716","51.14821716","140.2442172","242.6870295","13.5158681","33.8502305","5.288","130.708","88.1978855","36.8","12","82","33","66.2","67.3","3.6096179","42.7249036","1.9272066"
"Singapore","83.66851727","78.76851727","3.368517271","29400.74088","929.2490713","32.2559336","1.26","5.094",NA,"100","100","100",NA,"53.5","77.3","2.3505381","19.5600992","8.5082783"
"Slovak Republic","75.2680275","67.3680275","3.998027499","11376.62842","626.3083042","74.3954291","1.25","21.442","98.5022251","56.2","100","100","100","51.3","68.6","0.0845","16.8318554","11.678787"
"Slovenia","81.5406322","74.6206322","4.280632201","17871.39611","1518.284551","71.9678653","1.26","6.6845","99.1366943","49.5","100","100","99","52.8","66.1","0.175114","14.2212306","15.5034305"
"Solomon Islands","66.84602244","65.25002244","31.19102244","873.6681138","39.7838415","91.3365482","4.128","46.501","96.1027955","17","29","94","65","24.2","49.7","2.5633878","40.5341512","2.9580316"
"South Africa","63.97635793","59.99535793","62.57035793","5234.583145","457.5097856","39.0367527","2.674","64.941","95.9270791","59.3","75","99","75","45.9","61.6","1.1371944","31.6745109","4.054532"
"Spain","89.27584311","82.59584311","9.515843107","26041.88488","2168.043458","70.5809674","1.35","11.222","98.482119","76.7","100","100","100","45.6","67.7","1.6413463","14.5293702","16.7560499"
"Sri Lanka","86.19813616","78.36013616","23.05813616","1240.888298","50.196856","46.2466121","2.351","29.728","99.9011788","15.1","88","97","84","34.8","76.5","1.0529103","24.6215453","6.7981346"
"St. Vincent and the Grenadines","72.28812315","68.04112315","13.37412315","4098.446032","238.4738762","62.8571429","2.167","61.7665","90.4821132","45.9",NA,NA,NA,"53.7","79.6","0.1703131","28.5404172","7.1599397"
"Sudan","61.72111443","58.55811443","73.71311443","707.6772709","26.5249944","36.5067797","4.519","62.9715","86.9659055","40.8","34","68","53","30.1","74.5","2.0855178","40.7073256","3.4373063"
